StudentID,Japanese,Math,Sex,J+M,Class_A,Class_B
0,10,1.0,55,0,56.0,1,0
1,11,61.0,1,0,62.0,0,0
2,12,45.406976744186046,87,0,132.40697674418604,1,0
3,13,9.0,17,0,26.0,0,0
4,14,45.406976744186046,20,1,65.40697674418604,1,0
5,15,14.0,10,0,24.0,1,0
6,16,45.406976744186046,93,0,138.40697674418604,1,0
7,17,73.0,52,1,125.0,1,0
8,18,31.0,11,0,42.0,0,1
9,19,72.0,69,1,141.0,0,0
10,20,4.0,24,1,28.0,0,1
11,21,71.0,15,0,86.0,0,0
12,22,22.0,64,1,86.0,1,0
13,23,50.0,22,1,72.0,0,1
14,24,58.0,47,1,105.0,1,0
15,25,4.0,4,0,8.0,0,1
16,26,45.406976744186046,57,0,102.40697674418604,0,1
17,27,25.0,89,0,114.0,0,1
18,28,44.0,81,0,125.0,0,1
19,29,77.0,47,1,124.0,0,0
20,30,27.0,55,1,82.0,0,0
21,31,53.0,80,1,133.0,1,0
22,32,81.0,72,1,153.0,0,1
23,33,42.0,15,0,57.0,1,0
24,34,45.406976744186046,78,1,123.40697674418604,0,0
25,35,16.0,16,0,32.0,1,0
26,36,65.0,26,0,91.0,0,0
27,37,69.0,54,1,123.0,0,1
28,38,26.0,85,1,111.0,0,1
29,39,99.0,59,0,158.0,0,0
30,40,88.0,86,0,174.0,1,0
31,41,8.0,30,1,38.0,1,0
32,42,45.406976744186046,45,0,90.40697674418604,0,1
33,43,26.0,38,0,64.0,1,0
34,44,23.0,23,1,46.0,1,0
35,45,10.0,92,1,102.0,0,1
36,46,68.0,55,1,123.0,0,1
37,47,24.0,77,1,101.0,1,0
38,48,28.0,13,0,41.0,1,0
39,49,38.0,60,1,98.0,1,0
40,50,58.0,27,1,85.0,0,0
41,51,84.0,77,1,161.0,1,0
42,52,39.0,72,1,111.0,0,0
43,53,9.0,88,0,97.0,1,0
44,54,45.406976744186046,40,1,85.40697674418604,1,0
45,55,35.0,44,0,79.0,0,0
46,56,11.0,77,1,88.0,1,0
47,57,24.0,39,1,63.0,0,0
48,58,16.0,92,0,108.0,1,0
49,59,88.0,70,0,158.0,1,0
50,60,26.0,99,0,125.0,1,0
51,61,72.0,34,1,106.0,0,1
52,62,93.0,44,1,137.0,1,0
53,63,75.0,27,0,102.0,1,0
54,64,63.0,57,1,120.0,0,0
55,65,47.0,70,1,117.0,0,0
56,66,33.0,74,1,107.0,1,0
57,67,89.0,53,1,142.0,0,0
58,68,24.0,90,1,114.0,0,0
59,69,56.0,28,0,84.0,1,0
60,70,66.0,44,0,110.0,0,1
61,71,78.0,2,0,80.0,1,0
62,72,45.406976744186046,83,0,128.40697674418604,1,0
63,73,1.0,95,0,96.0,1,0
64,74,78.0,97,1,175.0,1,0
65,75,7.0,27,1,34.0,1,0
66,76,53.0,85,0,138.0,1,0
67,77,86.0,31,0,117.0,1,0
68,78,45.406976744186046,65,1,110.40697674418604,1,0
69,79,3.0,23,1,26.0,1,0
70,80,77.0,99,1,176.0,1,0
71,81,92.0,53,1,145.0,1,0
72,82,22.0,4,0,26.0,0,0
73,83,45.406976744186046,71,1,116.40697674418604,1,0
74,84,8.0,13,1,21.0,0,1
75,85,78.0,40,1,118.0,1,0
76,86,73.0,84,0,157.0,0,1
77,87,76.0,49,1,125.0,0,1
78,88,77.0,62,0,139.0,1,0
79,89,44.0,71,1,115.0,1,0
80,90,21.0,14,1,35.0,1,0
81,91,45.406976744186046,37,1,82.40697674418604,1,0
82,92,37.0,24,1,61.0,0,0
83,93,8.0,23,0,31.0,0,0
84,94,46.0,67,1,113.0,0,0
85,95,69.0,93,1,162.0,0,0
86,96,58.0,96,0,154.0,0,0
87,97,83.0,54,0,137.0,0,0
88,98,97.0,10,1,107.0,0,0
89,99,14.0,42,0,56.0,0,0
90,100,11.0,58,0,69.0,1,0
91,101,24.0,89,0,113.0,0,0
92,102,82.0,94,0,176.0,0,1
93,103,8.0,77,0,85.0,0,0
94,104,25.0,83,1,108.0,0,1
95,105,45.406976744186046,12,1,57.406976744186046,0,0
96,106,45.406976744186046,37,1,82.40697674418604,0,0
97,107,21.0,17,1,38.0,1,0
98,108,33.0,31,1,64.0,0,1
99,109,45.406976744186046,85,1,130.40697674418604,1,0
